  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA_12_2_40                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2839   0.01001   0.00484  -0.0601   0.8373   0.9777
   1.000   0.4254   0.00980   0.00424  -0.0659   0.7693   0.9999
   2.000   0.5195   0.01007   0.00409  -0.0620   0.6971   0.9999
   3.000   0.6140   0.01066   0.00434  -0.0581   0.6274   0.9999
   4.000   0.7079   0.01140   0.00485  -0.0541   0.5579   0.9999
   5.000   0.8010   0.01228   0.00553  -0.0501   0.4832   0.9999
   6.000   0.8916   0.01335   0.00645  -0.0459   0.3942   0.9999
   7.000   0.9734   0.01517   0.00784  -0.0408   0.2682   0.9999
   8.000   1.0401   0.01854   0.01050  -0.0342   0.1378   0.9999
   9.000   1.1006   0.02236   0.01412  -0.0269   0.0873   0.9999
  10.000   1.1519   0.02655   0.01837  -0.0187   0.0668   0.9999
