  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA_8_6_50                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   2.000   0.9482   0.01337   0.00758  -0.1815   0.8237   0.9998
   3.000   1.0624   0.01327   0.00755  -0.1812   0.7973   0.9998
   4.000   1.1735   0.01327   0.00774  -0.1802   0.7650   0.9998
   5.000   1.2700   0.01261   0.00706  -0.1744   0.6812   0.9998
   6.000   1.3421   0.01387   0.00792  -0.1652   0.5233   0.9998
   7.000   1.3027   0.02223   0.01332  -0.1393   0.0783   0.9998
   8.000   1.3187   0.02874   0.01987  -0.1248   0.0431   0.9998
   9.000   1.3651   0.03556   0.02688  -0.1152   0.0325   0.9998
  10.000   1.4609   0.04272   0.03471  -0.1118   0.0268   0.9998
